Freq.	V(v_adc_in)
1.00000000000000e+03	(3.94892786855920e+01dB,-4.18891636472440e+01°)
1.02329299228075e+03	(3.98600338546021e+01dB,-4.28369716477645e+01°)
1.04712854805090e+03	(4.02295013016323e+01dB,-4.38046030389829e+01°)
1.07151930523761e+03	(4.05976283575546e+01dB,-4.47923830246512e+01°)
1.09647819614318e+03	(4.09643605472551e+01dB,-4.58006361181545e+01°)
1.12201845430196e+03	(4.13296415571835e+01dB,-4.68296857164212e+01°)
1.14815362149688e+03	(4.16934132049065e+01dB,-4.78798536512833e+01°)
1.17489755493953e+03	(4.20556154109257e+01dB,-4.89514597182411e+01°)
1.20226443461741e+03	(4.24161861730308e+01dB,-5.00448211827047e+01°)
1.23026877081238e+03	(4.27750615434702e+01dB,-5.11602522639114e+01°)
1.25892541179417e+03	(4.31321756092284e+01dB,-5.22980635968508e+01°)
1.28824955169313e+03	(4.34874604757092e+01dB,-5.34585616726854e+01°)
1.31825673855641e+03	(4.38408462541283e+01dB,-5.46420482583062e+01°)
1.34896288259165e+03	(4.41922610529243e+01dB,-5.58488197958379e+01°)
1.38038426460288e+03	(4.45416309734991e+01dB,-5.70791667830838e+01°)
1.41253754462275e+03	(4.48888801105990e+01dB,-5.83333731360926e+01°)
1.44543977074593e+03	(4.52339305576454e+01dB,-5.96117155352208e+01°)
1.47910838816821e+03	(4.55767024173191e+01dB,-6.09144627562700e+01°)
1.51356124843621e+03	(4.59171138176949e+01dB,-6.22418749884852e+01°)
1.54881661891248e+03	(4.62550809342097e+01dB,-6.35942031414104e+01°)
1.58489319246111e+03	(4.65905180177373e+01dB,-6.49716881428092e+01°)
1.62181009735893e+03	(4.69233374290207e+01dB,-6.63745602300702e+01°)
1.65958690743756e+03	(4.72534496796943e+01dB,-6.78030382377211e+01°)
1.69824365246174e+03	(4.75807634801014e+01dB,-6.92573288838821e+01°)
1.73780082874937e+03	(4.79051857940860e+01dB,-7.07376260586718e+01°)
1.77827941003892e+03	(4.82266219009028e+01dB,-7.22441101177683e+01°)
1.81970085860998e+03	(4.85449754643544e+01dB,-7.37769471844829e+01°)
1.86208713666287e+03	(4.88601486092271e+01dB,-7.53362884638585e+01°)
1.90546071796325e+03	(4.91720420050495e+01dB,-7.69222695724208e+01°)
1.94984459975804e+03	(4.94805549571578e+01dB,-7.85350098873172e+01°)
1.99526231496888e+03	(4.97855855049996e+01dB,-8.01746119186447e+01°)
2.04173794466953e+03	(5.00870305275583e+01dB,-8.18411607088149e+01°)
2.08929613085404e+03	(5.03847858557311e+01dB,-8.35347232628098e+01°)
2.13796208950223e+03	(5.06787463914342e+01dB,-8.52553480131595e+01°)
2.18776162394955e+03	(5.09688062331626e+01dB,-8.70030643234123e+01°)
2.23872113856834e+03	(5.12548588076711e+01dB,-8.87778820337637e+01°)
2.29086765276777e+03	(5.15367970073947e+01dB,-9.05797910523842e+01°)
2.34422881531992e+03	(5.18145133331744e+01dB,-9.24087609958027e+01°)
2.39883291901949e+03	(5.20879000418015e+01dB,-9.42647408814968e+01°)
2.45470891568503e+03	(5.23568492978536e+01dB,-9.61476588755945e+01°)
2.51188643150958e+03	(5.26212533292454e+01dB,-9.80574220983106e+01°)
2.57039578276886e+03	(5.28810045858839e+01dB,-9.99939164894333e+01°)
2.63026799189538e+03	(5.31359959007815e+01dB,-1.01957006735837e+02°)
2.69153480392691e+03	(5.33861206529504e+01dB,-1.03946536262640e+02°)
2.75422870333816e+03	(5.36312729313832e+01dB,-1.05962327289232e+02°)
2.81838293126445e+03	(5.38713476993996e+01dB,-1.08004180951033e+02°)
2.88403150312660e+03	(5.41062409586387e+01dB,-1.10071877487398e+02°)
2.95120922666638e+03	(5.43358499119606e+01dB,-1.12165176495709e+02°)
3.01995172040201e+03	(5.45600731245322e+01dB,-1.14283817251273e+02°)
3.09029543251359e+03	(5.47788106823737e+01dB,-1.16427519092245e+02°)
3.16227766016837e+03	(5.49919643476592e+01dB,-1.18595981868395e+02°)
3.23593656929628e+03	(5.51994377100834e+01dB,-1.20788886452192e+02°)
3.31131121482591e+03	(5.54011363336315e+01dB,-1.23005895310270e+02°)
3.38844156139202e+03	(5.55969678981170e+01dB,-1.25246653133068e+02°)
3.46736850452531e+03	(5.57868423348888e+01dB,-1.27510787520075e+02°)
3.54813389233575e+03	(5.59706719561431e+01dB,-1.29797909717858e+02°)
3.63078054770101e+03	(5.61483715773156e+01dB,-1.32107615407812e+02°)
3.71535229097172e+03	(5.63198586320751e+01dB,-1.34439485540301e+02°)
3.80189396320561e+03	(5.64850532794781e+01dB,-1.36793087211736e+02°)
3.89045144994280e+03	(5.66438785028926e+01dB,-1.39167974580924e+02°)
3.98107170553497e+03	(5.67962602003440e+01dB,-1.41563689820923e+02°)
4.07380277804112e+03	(5.69421272659787e+01dB,-1.43979764102514e+02°)
4.16869383470335e+03	(5.70814116623887e+01dB,-1.46415718605356e+02°)
4.26579518801592e+03	(5.72140484835825e+01dB,-1.48871065552803e+02°)
4.36515832240165e+03	(5.73399760084306e+01dB,-1.51345309266361e+02°)
4.46683592150962e+03	(5.74591357444543e+01dB,-1.53837947235738e+02°)
4.57088189614874e+03	(5.75714724618678e+01dB,-1.56348471200449e+02°)
4.67735141287197e+03	(5.76769342178195e+01dB,-1.58876368238969e+02°)
4.78630092322637e+03	(5.77754723708159e+01dB,-1.61421121861429e+02°)
4.89778819368445e+03	(5.78670415853465e+01dB,-1.63982213101932e+02°)
5.01187233627271e+03	(5.79515998267594e+01dB,-1.66559121606586e+02°)
5.12861383991364e+03	(5.80291083464726e+01dB,-1.69151326713410e+02°)
5.24807460249772e+03	(5.80995316576325e+01dB,-1.71758308520341e+02°)
5.37031796370252e+03	(5.81628375013656e+01dB,-1.74379548937624e+02°)
5.49540873857624e+03	(5.82189968037950e+01dB,-1.77014532720919e+02°)
5.62341325190348e+03	(5.82679836240235e+01dB,-1.79662748481573e+02°)
5.75439937337156e+03	(5.83097750933129e+01dB,1.77676310329479e+02°)
5.88843655355588e+03	(5.83443513457231e+01dB,1.75003144467608e+02°)
6.02559586074357e+03	(5.83716954404908e+01dB,1.72318247973516e+02°)
6.16595001861481e+03	(5.83917932764733e+01dB,1.69622107288677e+02°)
6.30957344480192e+03	(5.84046334989987e+01dB,1.66915200410339e+02°)
6.45654229034654e+03	(5.84102073995021e+01dB,1.64197996089161e+02°)
6.60693448007595e+03	(5.84085088083564e+01dB,1.61470953072408e+02°)
6.76082975391980e+03	(5.83995339813337e+01dB,1.58734519395526e+02°)
6.91830970918935e+03	(5.83832814801719e+01dB,1.55989131724734e+02°)
7.07945784384136e+03	(5.83597520477461e+01dB,1.53235214753136e+02°)
7.24435960074989e+03	(5.83289484783801e+01dB,1.50473180652616e+02°)
7.41310241300916e+03	(5.82908754838566e+01dB,1.47703428583633e+02°)
7.58577575029182e+03	(5.82455395557267e+01dB,1.44926344264706e+02°)
7.76247116628690e+03	(5.81929488245310e+01dB,1.42142299603199e+02°)
7.94328234724280e+03	(5.81331129165800e+01dB,1.39351652388668e+02°)
8.12830516164097e+03	(5.80660428089603e+01dB,1.36554746049735e+02°)
8.31763771102669e+03	(5.79917506834501e+01dB,1.33751909475113e+02°)
8.51138038202374e+03	(5.79102497800343e+01dB,1.30943456899062e+02°)
8.70963589956079e+03	(5.78215542507396e+01dB,1.28129687851123e+02°)
8.91250938133744e+03	(5.77256790144734e+01dB,1.25310887169650e+02°)
9.12010839355908e+03	(5.76226396135941e+01dB,1.22487325078199e+02°)
9.33254300796989e+03	(5.75124520728819e+01dB,1.19659257323454e+02°)
9.54992586021434e+03	(5.73951327615983e+01dB,1.16826925372945e+02°)
9.77237220955809e+03	(5.72706982592747e+01dB,1.13990556670417e+02°)
9.99999999999998e+03	(5.71391652258486e+01dB,1.11150364946324e+02°)
1.02329299228075e+04	(5.70005502767165e+01dB,1.08306550580563e+02°)
1.04712854805090e+04	(5.68548698632422e+01dB,1.05459301014205e+02°)
1.07151930523760e+04	(5.67021401591817e+01dB,1.02608791206720e+02°)
1.09647819614318e+04	(5.65423769534540e+01dB,9.97551841349038e+01°)
1.12201845430196e+04	(5.63755955496056e+01dB,9.68986313295153e+01°)
1.14815362149688e+04	(5.62018106722518e+01dB,9.40392734455064e+01°)
1.17489755493953e+04	(5.60210363807228e+01dB,9.11772408615761e+01°)
1.20226443461741e+04	(5.58332859900488e+01dB,8.83126543048146e+01°)
1.23026877081238e+04	(5.56385719993703e+01dB,8.54456254961635e+01°)
1.25892541179416e+04	(5.54369060277816e+01dB,8.25762578125362e+01°)
1.28824955169313e+04	(5.52282987575421e+01dB,7.97046469616105e+01°)
1.31825673855640e+04	(5.50127598845501e+01dB,7.68308816654390e+01°)
1.34896288259165e+04	(5.47902980758912e+01dB,7.39550443493772e+01°)
1.38038426460288e+04	(5.45609209342513e+01dB,7.10772118330231e+01°)
1.41253754462275e+04	(5.43246349689278e+01dB,6.81974560202669e+01°)
1.44543977074592e+04	(5.40814455731379e+01dB,6.53158445859284e+01°)
1.47910838816820e+04	(5.38313570073171e+01dB,6.24324416567758e+01°)
1.51356124843620e+04	(5.35743723880780e+01dB,5.95473084851649e+01°)
1.54881661891248e+04	(5.33104936824827e+01dB,5.66605041140005e+01°)
1.58489319246111e+04	(5.30397217073303e+01dB,5.37720860319106e+01°)
1.62181009735893e+04	(5.27620561331305e+01dB,5.08821108181225e+01°)
1.65958690743756e+04	(5.24774954924886e+01dB,4.79906347767184e+01°)
1.69824365246174e+04	(5.21860371926588e+01dB,4.50977145602461e+01°)
1.73780082874937e+04	(5.18876775320579e+01dB,4.22034077829215e+01°)
1.77827941003892e+04	(5.15824117205711e+01dB,3.93077736238906e+01°)
1.81970085860998e+04	(5.12702339035448e+01dB,3.64108734210459e+01°)
1.86208713666286e+04	(5.09511371894095e+01dB,3.35127712559909e+01°)
1.90546071796324e+04	(5.06251136809307e+01dB,3.06135345306708e+01°)
1.94984459975804e+04	(5.02921545101105e+01dB,2.77132345363230e+01°)
1.99526231496887e+04	(4.99522498768783e+01dB,2.48119470147707e+01°)
2.04173794466952e+04	(4.96053890916564e+01dB,2.19097527125058e+01°)
2.08929613085403e+04	(4.92515606220232e+01dB,1.90067379270770e+01°)
2.13796208950222e+04	(4.88907521436431e+01dB,1.61029950454987e+01°)
2.18776162394954e+04	(4.85229505957072e+01dB,1.31986230736851e+01°)
2.23872113856833e+04	(4.81481422411180e+01dB,1.02937281556050e+01°)
2.29086765276776e+04	(4.77663127316309e+01dB,7.38842408060179e+00°)
2.34422881531991e+04	(4.73774471781963e+01dB,4.48283277654964e+00°)
2.39883291901948e+04	(4.69815302266755e+01dB,1.57708478641429e+00°)
2.45470891568502e+04	(4.65785461390992e+01dB,-1.32868027485137e+00°)
2.51188643150957e+04	(4.61684788805545e+01dB,-4.23431328627680e+00°)
2.57039578276885e+04	(4.57513122117681e+01dB,-7.13965521355959e+00°)
2.63026799189537e+04	(4.53270297873471e+01dB,-1.00445367323058e+01°)
2.69153480392691e+04	(4.48956152595857e+01dB,-1.29487778860889e+01°)
2.75422870333816e+04	(4.44570523876311e+01dB,-1.58521877834330e+01°)
2.81838293126444e+04	(4.40113251517530e+01dB,-1.87545643382807e+01°)
2.88403150312660e+04	(4.35584178723457e+01dB,-2.16556940582419e+01°)
2.95120922666637e+04	(4.30983153331623e+01dB,-2.45553518844781e+01°)
3.01995172040200e+04	(4.26310029082813e+01dB,-2.74533010877036e+01°)
3.09029543251358e+04	(4.21564666920939e+01dB,-3.03492932233406e+01°)
3.16227766016837e+04	(4.16746936316356e+01dB,-3.32430681495786e+01°)
3.23593656929627e+04	(4.11856716604126e+01dB,-3.61343541106557e+01°)
3.31131121482590e+04	(4.06893898328640e+01dB,-3.90228678876770e+01°)
3.38844156139201e+04	(4.01858384585302e+01dB,-4.19083150184919e+01°)
3.46736850452530e+04	(3.96750092349363e+01dB,-4.47903900872435e+01°)
3.54813389233574e+04	(3.91568953782095e+01dB,-4.76687770838560e+01°)
3.63078054770100e+04	(3.86314917503944e+01dB,-5.05431498325123e+01°)
3.71535229097171e+04	(3.80987949824713e+01dB,-5.34131724877637e+01°)
3.80189396320560e+04	(3.75588035920640e+01dB,-5.62785000957013e+01°)
3.89045144994279e+04	(3.70115180949057e+01dB,-5.91387792173529e+01°)
3.98107170553496e+04	(3.64569411091314e+01dB,-6.19936486101055e+01°)
4.07380277804111e+04	(3.58950774515908e+01dB,-6.48427399629092e+01°)
4.16869383470334e+04	(3.53259342253932e+01dB,-6.76856786796394e+01°)
4.26579518801591e+04	(3.47495208980673e+01dB,-7.05220847052820e+01°)
4.36515832240164e+04	(3.41658493697430e+01dB,-7.33515733881688e+01°)
4.46683592150961e+04	(3.35749340309426e+01dB,-7.61737563718559e+01°)
4.57088189614873e+04	(3.29767918096727e+01dB,-7.89882425097196e+01°)
4.67735141287196e+04	(3.23714422076154e+01dB,-8.17946387949354e+01°)
4.78630092322636e+04	(3.17589073253769e+01dB,-8.45925512987759e+01°)
4.89778819368444e+04	(3.11392118768627e+01dB,-8.73815861099935e+01°)
5.01187233627270e+04	(3.05123831929964e+01dB,-9.01613502684817e+01°)
5.12861383991362e+04	(2.98784512150878e+01dB,-9.29314526862593e+01°)
5.24807460249770e+04	(2.92374484783120e+01dB,-9.56915050496987e+01°)
